@relation JM1
@attribute country code {AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW}
@attribute currentTime real
@attribute predictionTime real
@attribute exposureTime real
@attribute exposure {Arsenic,Asbestos,Asphalt fumes,Benzene,Beryllium,1-Bromopropane,13-Butadiene,Cadmium,Chromium,Diacetyl,Diesel exhaust,Ethylene oxide,Formaldehyde,Hexavalent chromium,Hydrogen sulfide,Isocyanates,Lead,Mercury,Metals toxic,Metalworking fluids,Methylene chloride,SilicaCrystalline,Solvents,Synthetic mineral fibers,Toluene}
@attribute gender {F,M}
@attribute mutationCount numeric
@data
GQ,631152000000,1587340800000,0,Arsenic,M,41
VA,631152000000,1587340800000,0,Arsenic,M,23
BI,631152000000,1587340800000,0,Arsenic,F,40
LC,631152000000,1587340800000,0,Arsenic,F,36
NC,631152000000,1587340800000,0,Arsenic,F,33
MV,631152000000,1587340800000,0,Arsenic,M,29
JM,631152000000,1587340800000,0,Arsenic,F,29
BJ,631152000000,1587340800000,0,Arsenic,F,45
MZ,631152000000,1587340800000,0,Arsenic,F,42
SA,631152000000,1587340800000,0,Arsenic,M,27
LB,631152000000,1587340800000,0,Arsenic,M,39
MX,631152000000,1587340800000,0,Arsenic,M,32
FR,631152000000,1587340800000,0,Arsenic,F,36
ME,631152000000,1587340800000,0,Arsenic,F,28
TG,631152000000,1587340800000,0,Arsenic,F,33
PS,631152000000,1587340800000,0,Arsenic,F,43
AT,631152000000,1587340800000,0,Arsenic,M,42
BI,631152000000,1587340800000,0,Arsenic,M,40
ER,631152000000,1587340800000,0,Arsenic,M,44
AU,631152000000,1587340800000,0,Arsenic,F,37
PG,631152000000,1587340800000,0,Arsenic,M,29
KN,631152000000,1587340800000,1,Arsenic,F,43
ID,631152000000,1587340800000,0,Arsenic,M,45
FK,631152000000,1587340800000,0,Arsenic,F,35
TC,631152000000,1587340800000,0,Arsenic,M,32
IR,631152000000,1587340800000,0,Arsenic,M,34
PA,631152000000,1587340800000,0,Arsenic,M,30
NU,631152000000,1587340800000,0,Arsenic,M,27
MU,631152000000,1587340800000,0,Arsenic,F,40
NU,631152000000,1587340800000,0,Arsenic,F,27
KP,631152000000,1587340800000,0,Arsenic,M,31
TJ,631152000000,1587340800000,0,Arsenic,M,31
JM,631152000000,1587340800000,0,Arsenic,F,29
MX,631152000000,1587340800000,0,Arsenic,M,32
MS,631152000000,1587340800000,0,Arsenic,M,33
HM,631152000000,1587340800000,0,Arsenic,M,36
TF,631152000000,1587340800000,0,Arsenic,F,31
CL,631152000000,1587340800000,0,Arsenic,M,34
IL,631152000000,1587340800000,0,Arsenic,M,31
