GeneCards Gene,Gene Name,MalaCards Disorders (sorted by relevance)
3.8-1.2,HLA complex group 26 (non-protein coding) pseudogene,Neuropathy;  Arteritic Anterior Ischemic Optic Neuropathy;  Non-Arteritic Anterior Ischemic Optic Neuropathy;  Show all 5
A1BG,alpha-1-B glycoprotein,Pancreatic Ductal Adenocarcinoma
A1CF,APOBEC1 complementation factor,Anisometropia Amblyopia
A2M,alpha-2-macroglobulin,Alzheimers Disease;  Alpha-2-Macroglobulin Deficiency;  Senile Systemic Amyloidosis Show all 4
A2ML1,alpha-2-macroglobulin-like 1,Paraneoplastic Pemphigus Noonan Syndrome 1
A4GALT,alpha 1;4-galactosyltransferase,Nor Polyagglutination Syndrome Caffey Disease
AA1,Alopecia areata 1,Alopecia Areata 1 Alopecia
AA2,Alopecia areata 2,Alopecia Areata 2 Alopecia
AAA1,aortic aneurysm; familial abdominal 1,Abdominal Aortic Aneurysm Aneurysm
AAA2,Aortic aneurysm; familial abdominal 2,Aortic Aneurysm; Familial Abdominal 2;  Aneurysm Aortic Aneurysm
AAA3,Aneurysm; familial abdominal 3,Aneurysm; Familial Abdominal 3 Aneurysm
AAA4,Aortic aneurysm; familial abdominal; 4,Aortic Aneurysm; Familial Abdominal; 4;  Aneurysm Aortic Aneurysm
AAAS,achalasia; adrenocortical insufficiency; alacrimia,Achalasia-Addisonianism-Alacrima Syndrome;  Achalasia;  Triple-A Syndrome;  Show all 7
AACS,acetoacetyl-CoA synthetase,Tracheal Cancer
AADAC,arylacetamide deacetylase,Neutral Lipid Storage Disease;  Lipid Storage Disease Ectropion
AADAT,aminoadipate aminotransferase,Huntingtons Disease
AAGAB,alpha- and gamma-adaptin binding protein,Keratoderma; Palmoplantar; Punctate Type Ia;  Keratoderma Palmoplantar Keratosis
AAMP,angio-associated; migratory cell protein,Adenocarcinoma;  Colon Adenocarcinoma Coronary Restenosis
AANAT,aralkylamine N-acetyltransferase,Delayed Sleep Phase Syndrome;  Adolescent Idiopathic Scoliosis;  Pineocytoma;  Show all 5
AARS,alanyl-tRNA synthetase,Charcot-Marie-Tooth Neuropathy Type 2N;  Charcot-Marie-Tooth Disease; Axonal; Type 2N; Charcot-Marie-Tooth Neuropathy Type 2;  Show all 5
AARS2,alanyl-tRNA synthetase 2; mitochondrial,Combined Oxidative Phosphorylation Deficiency 8;  Leukoencephalopathy; Progressive; With Ovarian Failure Mitochondrial Cardiomyopathy
AASS,aminoadipate-semialdehyde synthase,Peliosis Hepatis;  Saccharopinuria;  Breast Lymphoma;  Show all 5
AASTH1,Allergic/atopic asthma related QTL 1,Asthma
AASTH10,Allergic/atopic asthma related QTL 10,Asthma
AASTH11,Allergic/atopic asthma related QTL 11,Asthma
AASTH12,Allergic/atopic asthma related QTL 12,Asthma
AASTH13,Allergic/atopic asthma related QTL 13,Asthma
AASTH14,Allergic/atopic asthma related QTL 14,Asthma
AASTH15,Allergic/atopic asthma related QTL 15,Asthma
AASTH16,Allergic/atopic asthma related QTL 16,Asthma
AASTH17,Allergic/atopic asthma related QTL 17,Asthma
AASTH18,Allergic/atopic asthma related QTL 18,Asthma
AASTH2,Allergic/atopic asthma related QTL 2,Asthma
AASTH20,Allergic/atopic asthma related QTL 20,Asthma
AASTH21,Allergic/atopic asthma related QTL 21,Asthma
AASTH22,Allergic/atopic asthma related QTL 22,Asthma
AASTH23,Allergic/atopic asthma related QTL 23,Asthma
AASTH24,Allergic/atopic asthma related QTL 24,Asthma
AASTH25,Allergic/atopic asthma related QTL 25,Asthma
AASTH26,Allergic/atopic asthma related QTL 25,Asthma
AASTH27,Allergic/atopic asthma related QTL 27,Asthma
AASTH28,Allergic/Atopic asthma related QTL 28,Asthma
AASTH29,Allergic/Atopic asthma related QTL 29,Asthma
AASTH30,Allergic/atopic asthma related QTL 30,Asthma
AASTH32,Allergic/Atopic asthma related QTL 32,Asthma
AASTH33,Allergic/atopic asthma related QTL 33,Asthma
AASTH34,Allergic/atopic asthma related QTL 34,Asthma
AASTH35,Allergic/atopic asthma related QTL 35,Asthma
AASTH36,Allergic/atopic asthma related QTL 36,Asthma
AASTH37,Allergic/atopic asthma related QTL 37,Asthma
AASTH38,Allergic/atopic asthma related QTL 38,Asthma
AASTH39,Allergic/atopic asthma related QTL 39,Asthma
AASTH4,Allergic/atopic asthma related QTL 4,Asthma
AASTH40,Allergic/atopic asthma related QTL 40,Asthma
AASTH41,Allergic/Atopic asthma related QTL 41,Asthma
AASTH42,Allergic/atopic asthma related QTL 42,Asthma
AASTH43,Allergic/atopic asthma related QTL 43,Asthma
AASTH44,Allergic/atopic asthma related QTL 44,Asthma
AASTH47,Allergic/atopic asthma related QTL 47,Asthma
AASTH48,Allergic/atopic asthma related QTL 48,Asthma
AASTH49,Allergic/atopic asthma related QTL 49,Asthma
AASTH5,Allergic/atopic asthma related QTL 5,Asthma
AASTH50,Allergic/atopic asthma related QTL 50,Asthma
AASTH51,Allergic/atopic asthma related QTL 51,Asthma
AASTH52,Allergic/atopic asthma related QTL 52,Asthma
AASTH53,Allergic/atopic asthma related QTL 53,Asthma
AASTH54,Allergic/atopic asthma related QTL 54,Asthma
AASTH55,Allergic/atopic asthma related QTL 5,Asthma
AASTH56,Allergic/Atopic asthma related QTL 56,Asthma
AASTH6,Allergic/atopic asthma related QTL 6,Asthma
AASTH7,Allergic/atopic asthma related QTL 7,Asthma
AASTH8,Allergic/atopic asthma related QTL 8,Asthma
AASTH9,Allergic/atopic asthma related QTL 9,Asthma
AAT1,Aortic aneurysm; familial thoracic 1,Aortic Aneurysm; Familial Thoracic 1 Aneurysm
AAT2,Aortic aneurysm; familial thoracic 2,Aortic Aneurysm; Familial Thoracic 2;  Aneurysm Aortic Aneurysm
AATK,apoptosis-associated tyrosine kinase,Neuroblastoma
AAVS1,adeno-associated virus integration site 1,Herpes Simplex
ABAT,4-aminobutyrate aminotransferase,Asphyxia Neonatorum;  Homocarnosinosis;  Gaba Aminotransferase Deficiency;  Show all 9
ABCA1,ATP-binding cassette; sub-family A (ABC1); member 1,Lewis-Sumner Syndrome;  Familial Hdl Deficiency;  Tangier Disease;  9
ABCA12,ATP-binding cassette; sub-family A (ABC1); member 12,Ichthyosis; Congenital; Autosomal Recessive 4A;  Harlequin Type Ichthyosis;  Ichthyosis; Autosomal Recessive 4B;  
ABCA2,ATP-binding cassette; sub-family A (ABC1); member 2,Developmental Coordination Disorder Neuroma
ABCA3,ATP-binding cassette; sub-family A (ABC1); member 3,Surfactant Metabolism Dysfunction; Pulmonary; 3;  Abca3-Related Pulmonary Surfactant Metabolism Dysfunction;  Surfactant Dysfunction;  Show all 5
ABCA4,ATP-binding cassette; sub-family A (ABC1); member 4,Retinitis Pigmentosa 19;  Cone-Rod Dystrophy 3;  Scotoma;  9
ABCA5,ATP-binding cassette; sub-family A (ABC1); member 5,Gingival Fibromatosis With Hypertrichosis
