@relation JM1
@attribute defects {AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW}
@attribute elapsedTime real
@attribute predictionTime real
@attribute branchCount numeric
@data
AD,631152000000,4681065600000,0
AE,631152000000,4681065600000,0
AF,631152000000,4681065600000,0
AG,631152000000,4681065600000,0
AI,631152000000,4681065600000,0
AL,631152000000,4681065600000,0
AM,631152000000,4681065600000,0
AN,631152000000,4681065600000,0
AO,631152000000,4681065600000,0
AQ,631152000000,4681065600000,0
AR,631152000000,4681065600000,0
AS,631152000000,4681065600000,0
AT,631152000000,4681065600000,0
AU,631152000000,4681065600000,1000
AW,631152000000,4681065600000,0
AX,631152000000,4681065600000,0
AZ,631152000000,4681065600000,0
BA,631152000000,4681065600000,0
BB,631152000000,4681065600000,0
BD,631152000000,4681065600000,0
BE,631152000000,4681065600000,0
BF,631152000000,4681065600000,0
BG,631152000000,4681065600000,0
BH,631152000000,4681065600000,0
BI,631152000000,4681065600000,0
BJ,631152000000,4681065600000,0
BL,631152000000,4681065600000,0
BM,631152000000,4681065600000,0
BN,631152000000,4681065600000,0
BO,631152000000,4681065600000,0
BQ,631152000000,4681065600000,0
BR,631152000000,4681065600000,0
BS,631152000000,4681065600000,0
BT,631152000000,4681065600000,0
BV,631152000000,4681065600000,0
BW,631152000000,4681065600000,0
BY,631152000000,4681065600000,0
BZ,631152000000,4681065600000,0
CA,631152000000,4681065600000,100
CC,631152000000,4681065600000,0
CD,631152000000,4681065600000,0
CF,631152000000,4681065600000,0
CG,631152000000,4681065600000,0
CH,631152000000,4681065600000,0
CI,631152000000,4681065600000,0
CK,631152000000,4681065600000,0
CL,631152000000,4681065600000,0
CM,631152000000,4681065600000,0
CN,631152000000,4681065600000,0
CO,631152000000,4681065600000,0
CR,631152000000,4681065600000,0
